ID,Comentários,Classificação do TextBlob,Classificação do DeepSeek,Classificação do ChatGPT,José,Amanda,Andrè,Jaque,Bruno,Luis
1,ótimo aplicativo incentiva você a aprender novos idiomas de formas diferentes e criativas além da equipe de marketing digital conseguir fazer propagandas descontraídas e engraçadas de verdade a única coisa é que não consigo mais praticar os exercícios passados antes eu acessava isso pelo reposição de corações mas não tem mais essa opção com as vidas cheias e ela me ajudava muito a relembrar palavras enfim excelente aplicativo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
2,é um app que realmente te ajuda a aprender qualquer tipo de idioma fiquei muito impressionada com o ensino porém ainda recomendo que para ser mais fluente na fala é melhor ver alguns vídeos ajuda muito para parecer mais nativo fora isso o app é perfeito gosto muito de ver o quanto ele evoluiu não parem com o trabalho por favor,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
3,o aplicativo é ótimo por si aprendi muito durante esses meses fico feliz bem que o aplicativo consegue ser tão prestativo porém uma coisa a reclamar mesmo é a parte musical principalmente eu que mexo com partitura uma dica para o pessoal que trabalha no duolingo é colocar a opção de participar inteira e a linha de continuidade enquanto a lição é tocada pois ficar seguindo ela pode dar uma mini crise de ansiedade para quem não gosta de ser pressionado ademais app maravilhoso,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
4,bom há alguns meses eu baixei o app eu simplesmente amei eu estou aprendendo inglês rapidamente com o duolingo e acredito que com outras línguas deve ser a mesma coisa quando você faz uma lição a cada dia vc ganha um dia de ofensiva com o duolingo enviando notificações no meu celular estou com 81 dias de ofensiva com esses 81 dias praticando aprendi muitas palavras muitas mesmo minha pronúncia no inglês melhorou muito super recomendo as lições são de uns dois ou três minutinhos eu indico,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
5,os lembretes são perfeitos inclusive gostaria que mais apps fossem assim só sinto falta de explicar as regras de gramática e também de desafios voltados para melhorarmos nossa compreensão de frases a partir do contexto por exemplo frases com palavras que ainda não aprendemos mas que podem ser deduzidas pelo contexto acho que essa é uma das melhores formas de aprender,Positivo,Positivo,Positivo,Neutro,Neutro,Positivo,Positivo,Neutro,Neutro
6,é muito bom o app vc pode ter liberdade de experimentar novas línguas e muito mais tanto é que o duo às vezes ensina vocabulário vogais e etc além de poder ensinar matemática e música e vale a pena ter o super duolingo o plano família quando vc pode se juntar com outra pessoa para ter o super duolingo e o max duolingo e às vezes ele te deixa ter o super duolingo de graça por três dias para vc testar,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
7,um aplicativo muito bom estou aprendendo bem e com diversão essas novas atividades de música e matemática são ótimas mas na de matemática vocês poderiam colocar a opção de pôr o ano por exemplo eu estou no oitavo ano poderia por isso porque do primeiro fundamental até o sétimo já muda coisa e a música poderia colocar para escolher o instrumento em que a pessoa quer aprender a tocar,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
8,"muito bom mesmo bem explicativo porém é bem caro as opções de vida infinita fora isso é bastante coisa boa o inglês é bem evoluído vc consegue aprender bastante coisa com esse aplicativo e outras línguas também te ensinando tudo que precisa saber com a matemática e música acho que estão ótimos também ensinando tudo que promete e que precisamos saber muito bom mesmo recomendo bastante para todos que querem aprender novas línguas ou não sabem muito matemática ou música dá pra aprender",Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
9,o duolingo é um aplicativo legal um ponto negativo é que é muito cheio de propagandas quando eu termino uma lição já é propagandas para lá e para cá consequentemente o duolingo tem outro ponto quando estamos escrevendo traduzindo e erramos apenas uma sílaba ou uma palavrinha já considera como errado o que faz ser extremamente irritante perder vidas e tempo como por exemplo às vezes o meu teclado digita a tecla errada e já consta como negativa a resposta sinceramente é irritante,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Neutro,Neutro
10,bom facilita a automatização lúdico lições curtas estimula a prática diária ruim há vários erros sem perspectiva de mudança propaganda do aplicativo a cada lição torna o aplicativo completamente chato sinto como se eu fosse forçado a comprar a versão paga a cada lição penso que esse será um fator que me fará desistir do curso,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Neutro,Negativo
